employee_id,department,role,seniority_years,total_weekly_hours,overtime_hours,daily_meeting_volume,days_since_last_vacation,sick_leave_days_6m,self_reported_stress,motivation_level,burnout_risk
E0322,HR,Mid,1.6,54.7,9.6,1.7,193,2,5,2,High
E0323,Sales,Junior,3.0,45.8,7.3,1.2,235,3,4,4,Medium
E0324,HR,Lead,1.0,51.5,9.3,1.5,119,2,3,3,Low
E0325,Operations,Mid,6.2,42.6,6.5,1.1,139,2,4,4,Medium
E0326,Finance,Lead,2.5,45.4,7.4,3.1,126,2,4,3,Medium
E0327,Operations,Mid,2.0,53.0,14.2,2.9,70,2,4,3,Medium
E0328,HR,Senior,6.7,45.0,5.2,2.1,97,5,3,3,Low
E0329,Finance,Mid,10.2,41.5,5.2,3.4,41,0,4,4,Low
E0330,Sales,Junior,2.0,46.4,11.4,1.6,108,3,4,4,Low
E0331,Operations,Senior,4.1,47.5,6.1,2.3,115,1,3,4,Low
E0332,IT,Mid,3.1,48.5,6.6,1.2,168,3,3,2,Medium
E0333,Operations,Mid,9.2,50.2,7.5,2.9,139,1,4,3,Medium
E0334,Operations,Manager,3.4,54.3,11.5,5.0,198,2,4,3,High
E0335,IT,Manager,1.4,51.4,14.0,1.9,97,7,4,4,High
E0336,Finance,Lead,3.5,53.7,18.4,2.7,240,2,5,3,High
E0337,IT,Junior,7.9,51.2,9.3,2.7,241,3,4,2,High
E0338,Operations,Senior,3.0,41.6,0.0,1.3,24,1,2,5,Low
E0339,IT,Lead,2.1,47.5,13.3,3.5,65,0,4,3,Medium
E0340,Marketing,Mid,3.3,41.9,6.7,3.1,117,4,4,4,Medium
E0341,IT,Junior,1.5,47.7,8.2,1.8,99,3,3,4,Low
E0342,Marketing,Lead,3.1,47.6,10.5,3.4,110,1,3,2,Medium
E0343,Operations,Mid,2.3,45.5,7.4,3.5,136,0,3,4,Low
E0344,Finance,Senior,14.8,49.5,8.3,4.1,190,1,5,4,Medium
E0345,Operations,Manager,0.5,53.3,14.0,3.3,103,4,4,3,High
E0346,Operations,Senior,1.7,49.1,6.8,2.1,195,2,4,3,Medium
E0347,Marketing,Mid,2.1,35.9,2.7,1.4,73,1,4,3,Low
E0348,IT,Mid,1.5,57.6,21.1,2.9,342,2,5,1,High
E0349,Finance,Mid,4.9,44.9,4.1,1.0,208,0,3,4,Low
E0350,IT,Junior,1.9,41.8,8.4,1.5,91,3,4,3,Medium
E0351,Finance,Lead,0.9,40.8,4.0,3.1,58,3,4,4,Low
E0352,IT,Lead,3.8,47.2,12.5,2.6,116,4,4,3,Medium
E0353,Finance,Mid,2.8,42.3,3.3,2.3,73,0,2,4,Low
E0354,Finance,Mid,2.0,48.6,5.2,4.2,155,0,4,4,Medium
E0355,HR,Lead,9.0,55.2,11.7,2.9,47,0,5,2,High
E0356,HR,Junior,5.0,41.5,5.4,1.4,50,0,2,5,Low
